MATERIA,NECESITA,TIPO
BI1103,BI1104,CORREQUISITO
BI1104,BI1103,CORREQUISITO
CI1230,CI0200,REQUISITO
CI1230,CI0202,REQUISITO
QU1102,QU1106,CORREQUISITO
QU1106,QU1102,CORREQUISITO
CI1231,CI1230,REQUISITO
IA1203,MA0101,REQUISITO
MA1102,MA0101,REQUISITO
QU1104,QU1102,REQUISITO
QU1104,QU1106,REQUISITO
QU1104,QU1107,CORREQUISITO
QU1107,QU1102,REQUISITO
QU1107,QU1106,REQUISITO
QU1107,QU1104,CORREQUISITO
FI1101,MA1102,CORREQUISITO
FI1201,FI1101,CORREQUISITO
IA2101,QU1106,REQUISITO
IA2105,IA2101,CORREQUISITO
IA2204,MA1102,REQUISITO
IA3302,IA1203,REQUISITO
MA1103,MA1102,REQUISITO
FI2103,FI1101,REQUISITO
FI2103,MA1102,REQUISITO
IA2106,BI1103,REQUISITO
IA2106,IA2101,REQUISITO
IA2202,FI1101,REQUISITO
IA2202,IA1203,REQUISITO
IA3303,IA3302,REQUISITO
MA2105,MA1103,REQUISITO
IA3202,MA1103,REQUISITO
IA3206,IA2202,REQUISITO
IA3208,FI1101,REQUISITO
IA3212,FI2103,REQUISITO
MA3106,MA1103,REQUISITO
CM2103,MA1102,REQUISITO
CM2103,QU1107,REQUISITO
IA3105,IA2106,REQUISITO
IA3105,QU1107,REQUISITO
IA3203,IA3202,REQUISITO
IA3210,IA3213,CORREQUISITO
IA3213,IA3212,REQUISITO
IA3401,IA3206,REQUISITO
IA3401,IA3208,REQUISITO
IA5601,IA2106,REQUISITO
CS3404,CS1502 ,REQUISITO
IA4307,IA3213,REQUISITO
IA4311,IA3105,REQUISITO
IA4311,IA3303,REQUISITO
IA4312,IA3203,REQUISITO
IA4312,IA3213,REQUISITO
IA4402,CM2103,REQUISITO
IA4402,IA3401,REQUISITO
IA4407,IA4402,CORREQUISITO
PI5516,MA3106,REQUISITO
CS4402,CS3404,REQUISITO
IA3501,IA3208,REQUISITO
IA4313,IA3212,REQUISITO
IA4313,IA4311,REQUISITO
IA4314,IA4312,REQUISITO
IA4315,IA3203,REQUISITO
IA4315,IA4312,REQUISITO
IA4403,IA4407,REQUISITO
IA5402,IA4403,CORREQUISITO
AE4208,PI5516,REQUISITO
IA4408,IA4313,REQUISITO
IA4408,IA4314,REQUISITO
IA4408,IA4315,REQUISITO
IA4408,IA4403,REQUISITO
SO4604,AE4208,CORREQUISITO
IA3004,IA4408,REQUISITO